sample_index,sample_id,system_id,replica,rmsd_valid,rmsd_value,rg_valid,rg_value,sasa_valid,sasa_value,helix_valid,helix_value,strand_valid,strand_value
31,3jsy_B_R2,3jsy_B,2,1,3.0934075962413905,1,22.95366059860547,0,,1,0.39938366375186329,1,0.23319538081569979
32,3jsy_B_R3,3jsy_B,3,1,2.7604059591401509,1,22.780555891132401,1,12726.790649694718,1,0.4109970557810137,1,0.2390046493651172
33,6o2v_A_R1,6o2v_A,1,0,,0,,0,,1,0.051700525857829097,1,0.483653009495706
34,6o2v_A_R2,6o2v_A,2,1,3.5611347418438091,0,,1,8847.0364338406416,0,,0,
35,6o2v_A_R3,6o2v_A,3,0,,0,,1,8482.0840327462174,1,0.053206114701959503,1,0.44877398173797067
36,7ead_A_R1,7ead_A,1,0,,0,,0,,1,0.20476714338100471,1,0.28074807480748071
37,7ead_A_R2,7ead_A,2,0,,1,14.860932205508096,1,8475.21712567332,0,,0,
38,7ead_A_R3,7ead_A,3,0,,0,,1,8116.9462811324975,0,,0,
39,6j56_A_R1,6j56_A,1,0,,0,,0,,1,0.32988317501910691,1,0.22987225679659351
40,6j56_A_R2,6j56_A,2,1,1.7680829380183156,1,16.311256229931207,1,9324.4181844132763,1,0.32553718277478111,1,0.228947445986972
41,6j56_A_R3,6j56_A,3,1,2.7566790001599171,1,16.220938979087492,1,9089.2458279428483,1,0.32781640023055841,1,0.23033489783675051
42,6rrv_A_R1,6rrv_A,1,1,4.0790395530226409,1,17.266502495926524,1,9156.6582931246794,1,0.47225729436881608,1,0.0961180872799062
43,6rrv_A_R2,6rrv_A,2,1,2.6063012625540845,0,,0,,0,,0,
44,6rrv_A_R3,6rrv_A,3,1,3.7852534045310802,0,,1,9100.9047454265819,1,0.47751005373255379,1,0.089571153391233699
45,6kty_A_R1,6kty_A,1,0,,1,22.38055319230417,0,,1,0.0590538847117794,1,0.43336018617973499
46,6kty_A_R2,6kty_A,2,1,2.3025683202508009,1,22.814941749113792,1,11606.312609985771,1,0.075687764092421006,1,0.44958082351883483
47,6kty_A_R3,6kty_A,3,0,,0,,1,11864.050353387176,1,0.062547241118669605,1,0.44856386999244141
48,6vjg_A_R1,6vjg_A,1,1,1.6994351752219163,0,,0,,1,0.19300920598388949,1,0.3176927502876869
49,6vjg_A_R2,6vjg_A,2,0,,0,,0,,0,,0,
50,6vjg_A_R3,6vjg_A,3,1,3.3754165962642131,0,,1,7321.3978917873665,1,0.18835870012340589,1,0.31098313451254622
51,6l4l_A_R1,6l4l_A,1,0,,1,20.588037183382859,1,15636.395659162928,0,,0,
52,6l4l_A_R2,6l4l_A,2,0,,1,20.388256298976479,1,15619.688574701171,0,,0,
53,6l4l_A_R3,6l4l_A,3,1,3.8021900108165991,1,20.570690406543367,0,,1,0.18732648916547101,1,0.4276549098519995
54,7lao_A_R1,7lao_A,1,1,2.1814539373489583,0,,1,13971.010452709868,1,0.31929362150764368,1,0.2013266561237041
55,7lao_A_R2,7lao_A,2,0,,0,,0,,1,0.3220644327655397,1,0.2019829289201982
56,7lao_A_R3,7lao_A,3,0,,1,19.486146363724824,0,,0,,0,
57,7qsu_A_R1,7qsu_A,1,1,2.044593113410818,0,,0,,1,0.2285067873303166,1,0.38093891402714919
58,7qsu_A_R2,7qsu_A,2,1,2.0157267775883119,1,22.747677021091629,1,19374.17589741504,0,,0,
59,7qsu_A_R3,7qsu_A,3,0,,0,,0,,0,,0,
